handle,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age
AggarwaSharan,1,0,0,1,1,1,31,Sun May 14 04:54:36 2017,1.0
AggarwalBodh,1,0,0,1,3,1,15,Sun May 14 07:50:20 2017,0.333333333333
AhBasudeo,0,1,0,1,26,1,11,Sat May 13 10:39:24 2017,0.0384615384615
AhluwaliaDev,1,0,0,1,1,0,0,Sun May 14 12:39:43 2017,1.0
AhluwaliaRani,1,0,0,1,1,35,98,Sun May 14 04:43:34 2017,1.0
Aishwar51670654,0,1,0,1,6,34,95,Sun May 14 04:20:27 2017,0.166666666667
AishwaryaKumaw1,0,0,1,1,1,0,1,Sun May 14 14:03:22 2017,1.0
Aishwaryav99,1,0,0,1,1,2,17,Thu May 11 21:24:22 2017,1.0
AjaiKum84232500,1,0,0,1,2,0,0,Wed May 10 15:35:23 2017,0.5
AjaibSaroop,1,0,0,1,2,0,0,Sun May 14 03:54:09 2017,0.5
Ajanakirani1,1,0,0,1,1,1,1,Sun May 14 01:43:11 2017,1.0
AjarPrakash1,1,0,0,1,1,1,1,Mon May 15 16:37:01 2017,1.0
Ajay51596487,1,0,0,1,1,4,22,Sat May 13 08:24:11 2017,1.0
Ajay521,0,1,0,1,2,0,1,Mon May 15 12:52:26 2017,0.5
AjayAhuja5870,1,0,0,1,11,10,9,Thu May 11 02:53:14 2017,0.0909090909091
AjayBha74088082,0,1,0,1,240,50,67,Wed Mar 15 16:17:39 2017,0.00416666666667
AjayBhutani7,2,1,0,3,14,2,6,Sat May 13 04:43:04 2017,0.214285714286
AjayKir32880043,0,1,0,1,13,1,1,Sun May 14 00:24:13 2017,0.0769230769231
AjayKum16488559,0,1,0,1,3,0,1,Sun May 14 05:26:49 2017,0.333333333333
AjayKum21548591,2,0,0,2,2,0,0,Sun May 14 13:15:47 2017,1.0
AjaySha89436228,1,0,0,1,1,0,21,Sat May 13 14:19:04 2017,1.0
AjaySin68571291,0,1,0,1,3,28,90,Sun May 14 05:31:28 2017,0.333333333333
