handle,tweetType,counts
AyushSo71419688,Retweet,1
AyushiBhatnagr,Retweet,2
AyushiS32956545,Tweet,2
Ayushkrsri07,Retweet,1
AyyagariChandra,Tweet,1
BALUBTC,Tweet,1
BASTIRA44904188,Reply,1
BASTIRA44904188,Retweet,1
BASTIRA44904188,Tweet,1
BArchanaRao1,Tweet,1
BBJSubbaRao1,Tweet,1
BBahadurgarh,Tweet,1
BDAYALBABU2,Retweet,1
BDAYALBABU2,Tweet,1
BDayavathi,Tweet,1
BEswarachandra,Tweet,1
BGURUPRASADARA2,Retweet,1
BGURUPRASADARA2,Tweet,1
BHAGVAN898,Tweet,1
BHAGWANSHAW1,Retweet,1
BHASKAR_30,Tweet,1
BHUPEND12260575,Tweet,1
BHnarasingarao,Tweet,1
BINAYKU57825442,Retweet,1
BKGupta60899943,Tweet,1
