handle,Reply,Retweet,Tweet,#tweets,#followers,#friends,Joining Date
AmitKum83093230,0,3,0,3,3,6,Sun May 14 06:10:26 2017
AmitKum89630186,0,0,1,2,15,16,Thu May 11 06:32:11 2017
AmitKumarSatsa1,0,1,0,4,8,31,Sun May 14 04:38:07 2017
AmitMah54360473,0,0,1,1,1,1,Sun May 14 05:37:07 2017
AmitMidha3,0,0,1,34,14,19,Wed May 01 04:51:36 2013
AmitPrasad1611,0,0,1,1,0,0,Sun May 14 05:18:44 2017
AmitSha12990593,0,1,0,5,0,2,Mon May 15 12:08:02 2017
AmitSha42443159,0,1,0,2,32,46,Sun May 14 07:22:24 2017
AmitVer94755269,0,1,0,3,2,20,Sun May 14 07:30:27 2017
AmitaBhatia20,0,0,1,1,1,1,Fri May 12 03:47:36 2017
AmitaKulshresh3,0,0,1,2,2,31,Sun May 14 12:59:56 2017
AmitaKumar15,0,0,1,1,0,0,Sat May 13 13:33:11 2017
AmitaKushwaha4,0,0,1,1,1,0,Sun May 14 07:10:56 2017
AmitaMehta17,0,0,1,1,0,21,Sun May 14 03:25:46 2017
AmitaRani7,0,0,1,3,2,2,Tue May 09 12:19:33 2017
Amitash15230443,0,1,1,2,0,70,Sun May 14 05:51:39 2017
Amitasr03737089,0,1,0,18,0,0,Sun May 14 05:37:59 2017
Amitatiwari09,0,1,0,18,4,1,Sun May 14 08:11:48 2017
Amitgup55725269,0,1,0,2,3,70,Sun May 14 04:27:35 2017
Amitmal07788166,0,0,1,1,0,49,Sun May 14 03:42:51 2017
Amits1265,0,0,1,2,12,66,Sat May 13 06:38:09 2017
AmiyawalaS,0,0,1,1,0,0,Sun May 14 07:03:14 2017
AmmaSavitri,0,0,1,1,0,21,Sat May 13 12:36:48 2017
Amodpandey19,0,0,1,2,0,0,Wed May 10 12:54:58 2017
Amol41146853,0,1,0,1,1,22,Sun May 14 14:55:56 2017
Amol57378858,0,1,0,1,3,57,Sun May 14 14:57:56 2017
AmolAnand1,0,0,1,2,21,92,Sun May 14 05:07:24 2017
AmoliSatsangi,0,1,1,2,0,21,Sun May 14 06:32:47 2017
AmrendraDEI,0,0,1,1,3,3,Sun May 14 02:39:54 2017
AmritGupta1234,0,0,1,0,0,0,Thu May 11 11:22:37 2017
AmritPr78923949,0,0,1,1,3,21,Sun May 14 05:11:38 2017
AmritSakhi,0,1,0,4,0,0,Sun May 14 03:30:47 2017
