handle,ID String,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age,Score-English,Score-Universal,Score-Network,Score-Content,Score-Sentiment,Score-Temporal,Score-Friend,Score-User
AlokSharanShri,863613952357433346,1,0,0,1,1,7,29,Sun May 14 04:36:26 2017,1.0,0.34,0.789786602043,0.840246053348,0.85,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AlpanaShrivast2,863556832173973504,1,0,0,1,2,3,71,Sun May 14 00:49:27 2017,0.5,0.73,0.78,0.961054752865,0.85,0.75,0.95,0.885,0.56
Amal96257242,863794588737306624,0,1,0,1,18,0,20,Sun May 14 16:34:13 2017,0.0555555555556,0.76,0.61,0.78,0.79,0.57,0.856438895849,0.87,0.711547409429
AmalSatsangi1,863779184467779584,0,1,0,1,18,0,54,Sun May 14 15:33:00 2017,0.0555555555556,0.77,0.58,0.78,0.79,0.57,0.891293995376,0.87,0.7334308175
Aman01690461,863643175814139904,1,0,0,1,1,1,21,Sun May 14 06:32:33 2017,1.0,0.96,0.789786602043,0.840246053348,0.83,0.48,0.787951843463,0.793147133651,0.783886357497
AmanKetu9876,863629968189800448,1,0,0,1,2,0,20,Sun May 14 05:40:04 2017,0.5,0.67,0.42,0.840246053348,0.69,0.85,1.0,0.793147133651,0.42
AmanKum84641443,863605870516633600,1,0,0,1,1,0,21,Sun May 14 04:04:19 2017,1.0,0.93,0.789786602043,0.840246053348,0.89,0.66,0.787951843463,0.793147133651,0.783886357497
AmanSah2017,863670005346385920,1,58,0,59,87,13,78,Sun May 14 08:19:10 2017,0.67816091954,0.69,0.5,0.35,0.69,0.71,0.775754178557,0.46,0.55
AmanSheel,1557745892,1,0,0,1,61,206,98,Sun Jun 30 10:21:52 2013,0.016393442623,0.53,0.36,0.49,0.41,0.6,0.43,0.63,0.24
Amanarshsara,863791061033828352,1,0,0,1,1,0,0,Sun May 14 16:20:12 2017,1.0,0.87,0.983532829531,0.802706715068,0.91,0.53,0.787951843463,0.793147133651,0.783886357497
Amandeesing,863569394932121600,0,1,0,1,4,0,20,Sun May 14 01:39:22 2017,0.25,0.66,0.59,1.0,0.71,0.75,0.962305822347,0.88,0.637757847534
Amanraj29090566,863553251337093120,1,0,0,1,1,0,20,Sun May 14 00:35:13 2017,1.0,0.77,0.789786602043,0.840246053348,0.84,0.8,0.787951843463,0.793147133651,0.783886357497
AmarMan2015,863588553615220737,1,6,0,7,10,18,60,Sun May 14 02:55:30 2017,0.7,0.69,0.58,0.74,0.69,0.361346662576,0.855866101809,0.625,0.59
AmarRajKalam1,863585044094386176,0,1,0,1,4,19,99,Sun May 14 02:41:33 2017,0.25,0.65,0.64,0.749305555556,0.88,0.82,0.91694789061,0.88,0.54
AmarSin90765064,863629732486627328,1,0,0,1,2,0,1,Sun May 14 05:39:08 2017,0.5,0.7,0.678823529412,0.797621863222,0.77,0.93,0.787951843463,0.84,0.76537486881
Amaresh00227834,861193439668457472,1,0,0,1,3,7,42,Sun May 07 12:18:11 2017,0.333333333333,0.46,0.64,0.775604697263,0.63,0.79,1.0,0.44,0.6
Amarjit79721898,863381005524234241,2,0,0,2,17,0,1,Sat May 13 13:10:47 2017,0.117647058824,0.64,0.62,0.73,0.64,0.56,0.68,0.88,0.58
Amarnad25027756,863561500115513344,1,0,0,1,1,0,0,Sun May 14 01:08:00 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Amarnat78791080,863575949023039488,0,1,0,1,4,0,1,Sun May 14 02:05:25 2017,0.25,0.65,0.68,0.876382419198,0.6,0.64,0.988127853881,0.77,0.62
Ambika61280037,863539581299310592,1,1,0,2,2,2,21,Sat May 13 23:40:54 2017,1.0,0.66,0.56,0.797621863222,0.58,0.78,0.787951843463,0.73,0.61
AmbikaSrivast17,868692909213630465,1,0,0,1,5,7,25,Sun May 28 04:58:23 2017,0.2,0.59,0.48,0.69,0.96,0.93,0.43,0.5,0.65
AmbikaY96315367,863334028572737537,1,0,0,1,1,10,13,Sat May 13 10:04:07 2017,1.0,0.96,0.997705882353,1.0,0.89,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AmbitiousSumir,861288373234880515,1,0,0,1,1,2,55,Sun May 07 18:35:24 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
AmbrishKumarG10,863015346466426881,0,0,1,1,2,2,1,Fri May 12 12:57:47 2017,0.5,0.77,0.55,0.566115079365,0.79,0.423440514469,0.787951843463,0.77,0.507617021277
AmeeSuri,863047987731320832,1,0,0,1,1,0,0,Fri May 12 15:07:29 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
Ameebhatia04,863614769424547841,1,0,0,1,1,3,3,Sun May 14 04:39:40 2017,1.0,0.74,0.789786602043,0.840246053348,0.92,0.19,0.787951843463,0.793147133651,0.783886357497
Amesh9Meena,863324235782955008,1,0,0,1,1,0,21,Sat May 13 09:25:12 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
