handle,ID String,Tweet,Retweet,Reply,Total,#tweets,#followers,#friends,Joining Date,n-cubit related %age,Score-English,Score-Universal,Score-Network,Score-Content,Score-Sentiment,Score-Temporal,Score-Friend,Score-User
CPraveenu,864062264139296768,1,1,0,2,2,0,0,Mon May 15 10:17:52 2017,1.0,0.62,0.53,0.775604697263,0.9,0.361346662576,0.787951843463,0.357956054231,0.427617021277
CPsingh32525233,863624664945479680,1,0,0,1,1,1,0,Sun May 14 05:19:00 2017,1.0,0.92,0.789786602043,0.840246053348,0.68,0.84,0.787951843463,0.793147133651,0.783886357497
CPushpavat,863728600993996800,1,1,0,2,2,0,0,Sun May 14 12:12:00 2017,1.0,0.61,0.54,0.775604697263,0.9,0.361346662576,0.787951843463,0.357956054231,0.467617021277
CPyari,862832987540475906,1,0,0,1,1,0,0,Fri May 12 00:53:09 2017,1.0,0.997142857143,0.789786602043,0.840246053348,1.0,0.361346662576,0.787951843463,0.793147133651,0.783886357497
CQPBristol,985112612,0,1,0,1,1552,716,344,Sun Dec 02 18:10:06 2012,0.000644329896907,0.37,0.36,0.32,0.62,0.5,0.46,0.42,0.34
CSDMAHARAJTPT,863754637811122179,0,2,0,2,2,2,21,Sun May 14 13:55:28 2017,1.0,0.69,0.76,0.961054752865,0.72,0.79,0.962305822347,0.87,0.81
CSaraswathi3,863559250567671808,0,2,0,2,9,3,128,Sun May 14 00:59:04 2017,0.222222222222,0.67,0.62,0.937802197802,0.84,0.7,0.867761851876,0.615835713281,0.64
CVIJAYALAKSHMI9,863642302463569920,0,1,0,1,17,0,0,Sun May 14 06:29:05 2017,0.0588235294118,0.7,0.51,0.89,0.81,0.6,0.844736234054,0.87,0.638289935533
CaprihanKumar,862529672881426432,1,0,0,1,2,0,3,Thu May 11 04:47:53 2017,0.5,0.69,0.63,0.840246053348,0.85,0.68,0.63,0.793147133651,0.33
CaptJBVerma,863104315166031872,1,0,0,1,4,0,4,Fri May 12 18:51:19 2017,0.25,0.69,0.63,0.78,0.84,0.85,0.92,0.793147133651,0.36
